building_id,Central_Italy_EQ_01,Central_Italy_EQ_02,Central_Italy_EQ_03,Central_Italy_EQ_04,Central_Italy_EQ_05,Central_Italy_EQ_06,Central_Italy_EQ_07,Central_Italy_EQ_08,Central_Italy_EQ_09
shm_Budva,40000.0,40000.0,240000.0,240000.0,480000.0,480000.0,480000.0,480000.0,480000.0
shm_Grenoble,5593434.343434343,5593434.343434342,5593434.343434342,5593434.343434342,6313775.510204079,6313775.510204079,6313775.510204079,6313775.510204079,6313775.510204079
shm_Swiss,982079.207920792,982079.207920792,987871.2871287127,987871.2871287127,1159600.0000000002,1159600.0,1159600.0,1164800.0,1164800.0
tile_1,2023696.9451330337,2082273.0106449835,2110993.094856963,2193491.026107429,2404640.375041891,2422220.068651838,2449444.461871327,2452942.87277741,2453329.1576095326
tile_2,9662775.214522129,10017446.550774388,10202521.675356189,10880578.90994224,12646535.620186344,12787855.391689597,13016336.36507414,13042858.59037204,13045824.176381815
tile_3,228199.7513982121,228684.8258369367,228830.36991808668,231936.4246363001,361638.4216451032,366303.1320156071,440536.72929716494,447367.96600020735,447490.1114722802
tile_4,1630639.0409841165,1643907.9988890127,1650965.7236207472,1687161.2204032217,2620505.6684167194,2683657.11281193,3244589.56594457,3327409.627340261,3337633.87111682
tile_5,5016578.039438846,5103521.829271372,5146604.434563155,5353699.21417137,7406409.737609597,7522971.850355137,8542675.33064681,8664839.41686714,8669539.67223633
tile_6,4980746.81500641,5114392.526100954,5176834.44742172,5559285.553454746,7878874.758377633,8124044.309418327,8944595.53968409,9077964.875931151,9088245.700667951
tile_7,6972552.346891632,7014138.7060868405,7031338.884768087,7212524.842640922,11314701.03644178,11590846.339789698,14050235.867286924,14404937.61959971,14423367.909958009
tile_8,2951468.269384516,3042487.056483488,3089049.560999385,3245725.0467203315,3923969.83018048,3968739.365948925,4235933.205384798,4274143.217791578,4278789.489608487
tile_9,7732562.422884063,7995794.91828683,8130055.827681499,8671120.937499348,10439202.603566434,10581796.31827703,10943445.45813728,10987660.374514002,10990981.374731736
