building_id,forecast_2016_08_24T00_00_00day,forecast_2016_08_24T01_36_33day,forecast_2016_08_24T02_33_29day,forecast_2016_10_26T00_00_00day,forecast_2016_10_26T17_10_37day,forecast_2016_10_26T19_18_08day,forecast_2016_10_30T06_40_18day,forecast_2017_01_18T00_00_00day,forecast_2017_01_18T09_25_41day,forecast_2017_01_18T10_14_10day,forecast_2017_01_18T10_25_24day,forecast_2017_01_18T13_33_37day
shm_Budva,3.1671177503352907e-06,0.0,0.0,1.0853526768887625e-05,0.0,0.0,0.0,3.173172888128295e-05,0.0,0.0,0.0,0.0
shm_Grenoble,7.422732475966954e-06,0.0,0.0,3.5508562450688894e-05,0.0,0.0,0.0,2.673735212433333e-05,0.0,0.0,0.0,0.0
shm_Swiss,7.279128393093123e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.001055842885598235,0.0,0.0,6.0443521499455555e-05,0.0,0.0,0.0,8.480115575679205e-06,0.0,0.0,0.0,0.0
tile_2,0.0009114175015459417,0.0,0.0,6.961160457528278e-05,0.0,0.0,0.0,6.08818845165478e-06,0.0,0.0,0.0,0.0
tile_3,2.1879777231547495e-05,0.0,0.0,5.531151792025911e-05,0.0,0.0,0.0,2.9860630195568993e-05,0.0,0.0,0.0,0.0
tile_4,7.280818573170664e-05,0.0,0.0,7.255562297957597e-05,0.0,0.0,0.0,3.9720594582705654e-05,0.0,0.0,0.0,0.0
tile_5,0.00028362114929454115,0.0,0.0,7.494375120572416e-05,0.0,0.0,0.0,3.228061464945976e-05,0.0,0.0,0.0,0.0
tile_6,0.0002015148494676149,0.0,0.0,7.054308635668178e-05,0.0,0.0,0.0,1.7279216087164345e-05,0.0,0.0,0.0,0.0
tile_7,9.581484676439557e-05,0.0,0.0,6.94795160156129e-05,0.0,0.0,0.0,3.9938133943859425e-05,0.0,0.0,0.0,0.0
tile_8,0.0006451459203511872,0.0,0.0,5.993231179211616e-05,0.0,0.0,0.0,1.9464098085978425e-05,0.0,0.0,0.0,0.0
tile_9,0.0007381253325934809,0.0,0.0,7.552148047242974e-05,0.0,0.0,0.0,1.0525569490440116e-05,0.0,0.0,0.0,0.0
