building_id,Central_Italy_EQ_01,Central_Italy_EQ_02,Central_Italy_EQ_03,Central_Italy_EQ_04,Central_Italy_EQ_05,Central_Italy_EQ_06,Central_Italy_EQ_07,Central_Italy_EQ_08,Central_Italy_EQ_09
shm_Budva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,0.0001109094113636,0.0,9.223573132700523e-05,0.0,0.0,0.000548135624012,0.0,0.0,0.0
shm_Swiss,0.0022134754915841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.0351992056158617,0.0,7.194072903520362e-07,0.0,0.0,2.438776119200878e-06,0.0,0.0,0.0
tile_2,0.1324923396231185,0.0,1.3651825208076712e-05,0.0,0.0,1.3281179911409184e-05,0.0,0.0,0.0
tile_3,0.0014061372883082,0.0,1.3102148012470114e-12,0.0,0.0,4.2483430731285374e-08,0.0,0.0,0.0
tile_4,0.0111920556593689,0.0,2.9836614810682086e-09,0.0,0.0,1.7845285233947303e-06,0.0,0.0,0.0
tile_5,0.0419863598068235,0.0,2.981435929799362e-06,0.0,0.0,7.311055833325453e-06,0.0,0.0,0.0
tile_6,0.0284404338828147,0.0,3.351041854071416e-07,0.0,0.0,7.3456662226121985e-06,0.0,0.0,0.0
tile_7,0.0535611526350415,0.0,1.242820804367811e-07,0.0,0.0,1.800518376638953e-05,0.0,0.0,0.0
tile_8,0.044098508241952,0.0,2.41400689284739e-06,0.0,0.0,2.6822256554923408e-06,0.0,0.0,0.0
tile_9,0.0864871177289332,0.0,9.621757575178518e-06,0.0,0.0,1.1161404756285334e-05,0.0,0.0,0.0
