building_id,Central_Italy_EQ_01,Central_Italy_EQ_02,Central_Italy_EQ_03,Central_Italy_EQ_04,Central_Italy_EQ_05,Central_Italy_EQ_06,Central_Italy_EQ_07,Central_Italy_EQ_08,Central_Italy_EQ_09
shm_Budva,0.0,116000.0,0.0,0.0,0.0,113702.97029702968,0.0,0.0,0.0
shm_Grenoble,1836734.6938775496,0.0,0.0,0.0,2039527.9323850756,0.0,0.0,138888.888888889,37878.78787878901
shm_Swiss,65000.0,0.0,0.0,0.0,0.0,0.0,607100.0,292500.0,63700.0
tile_1,507411.8388505734,14473.673213442613,9581.672869216593,68210.35796627181,558092.3668669948,321527.0098561777,585010.7046217946,203453.15545996418,37568.59359523235
tile_2,2600450.629618309,63476.5037348452,42167.63901920989,374390.1917921733,3132540.8106474923,1898831.4771471927,3141565.221793608,1039079.4295511656,192099.10622069985
tile_3,5778.59055342725,0.39874711600714363,0.1693455687682217,16.271969514844386,6342.09722977291,1944.7435950952222,37968.52976987834,16393.526613522852,1126.0514456298115
tile_4,69521.08429782781,228.0585484796029,174.3092752921657,664.5106574247184,80333.6546319272,29556.240800899715,411608.30069232313,210393.20520350756,26150.328927444527
tile_5,697598.0817112372,11274.070035686716,7361.424674384762,72397.6726616798,835393.8407995604,479071.94563556137,1526994.9667407735,654435.9050798118,82641.89478718117
tile_6,709402.0419173557,4518.181637223577,2688.7468295213766,46570.748615613906,964381.9251274262,652139.8384743417,2383315.5714343786,1387603.4416399188,278943.62331052404
tile_7,378383.75563834887,269.6980640118127,157.54016698594205,4083.911536001775,461685.4998450907,198923.30210708675,2111007.155639483,1167874.4125504154,143007.05379826762
tile_8,688530.610593088,18132.500072915806,11951.08788123075,103351.82490625174,790068.2148945896,445869.2089732562,769534.4641100201,252319.11428860994,37540.616149662994
tile_9,1875780.9269057089,36909.166241574334,24087.00019864319,236482.15240724455,2280224.0781465517,1423336.2479144717,2703589.550690444,995398.5504793078,182749.13595215045
