building_id,LAquila_EQ_01,LAquila_EQ_02,LAquila_EQ_03,LAquila_EQ_04,LAquila_EQ_05,LAquila_EQ_06,LAquila_EQ_07,LAquila_EQ_08
shm_Budva,404040.404040404,404040.404040404,404040.404040404,404040.404040404,404040.404040404,404040.404040404,404040.404040404,404040.404040404
shm_Grenoble,20416666.666666664,21338383.83838384,21338383.83838384,21338383.83838384,21338383.83838384,21439393.939393938,21439393.939393938,21439393.939393938
shm_Swiss,722475.0,727675.0,727675.0,789100.0,1300000.0,1300000.0,1300000.0,1300000.0
tile_1,2058604.7257555835,2212905.8337244946,2248852.9685314787,2333983.3579094843,2398758.4223857964,2410446.1075508785,2414253.9185036104,2415955.77880972
tile_2,9852564.15731075,10978174.62629002,11267072.587277876,12092369.860554071,12683777.2073973,12783444.85766933,12817277.0482579,12833416.305032482
tile_3,247119.8504893038,254931.30394132985,255696.2565210798,270029.6564570506,299667.7160886713,301919.4402794659,302274.8531003353,302364.5449465329
tile_4,1725014.090007803,1806832.6794380443,1823362.7548945849,1956440.453393848,2219724.5699978727,2255174.995282133,2267031.6616197964,2273183.1168347765
tile_5,5219434.744085766,5601304.997986103,5681068.469927294,6105483.256431378,6716243.794363072,6784820.818500359,6801890.396745108,6808567.588009613
tile_6,5151384.79194746,5827157.030154342,5979389.553799801,6772720.550905674,7722506.880905845,7895280.686531039,7947436.301725414,7969296.615772407
tile_7,7342154.099305788,7737035.744846709,7799636.538316812,8496446.137365162,9837649.307791827,10006970.296902709,10049364.2964293,10065462.51897434
tile_8,3030526.3264121865,3307752.3456329624,3373048.015559516,3564701.031188161,3753989.454986756,3780295.238686663,3788901.458562099,3793149.420011493
tile_9,7910533.960050639,8817347.079349091,9042677.91304852,9771909.345522642,10366960.777069604,10464363.028538335,10495526.61173207,10509639.013994588
