building_id,LAquila_EQ_01,LAquila_EQ_02,LAquila_EQ_03,LAquila_EQ_04,LAquila_EQ_05,LAquila_EQ_06,LAquila_EQ_07,LAquila_EQ_08
shm_Budva,404040.404040404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,20416666.666666664,921717.1717171744,0.0,0.0,0.0,101010.10101009905,0.0,0.0
shm_Swiss,722475.0,5200.0,0.0,61425.0,510900.0,0.0,0.0,0.0
tile_1,2058604.7257555835,154301.10796891106,35947.134806984104,85130.38937800564,64775.06447631214,11687.685165082105,3807.810952731874,1701.8603061097674
tile_2,9852564.15731075,1125610.4689792693,288897.9609878566,825297.2732761949,591407.3468432296,99667.65027202852,33832.19058857113,16139.256774581969
tile_3,247119.8504893038,7811.453452026064,764.9525797499518,14333.399935970781,29638.05963162071,2251.72419079463,355.41282086935826,89.69184619758744
tile_4,1725014.090007803,81818.58943024138,16530.075456540566,133077.69849926303,263284.1166040248,35450.42528426042,11856.666337663308,6151.455214980058
tile_5,5219434.744085766,381870.25390033703,79763.47194119077,424414.78650408424,610760.5379316937,68577.02413728647,17069.578244749457,6677.191264504567
tile_6,5151384.79194746,675772.238206882,152232.52364545874,793330.9971058732,949786.3300001714,172773.80562519375,52155.615194374695,21860.31404699292
tile_7,7342154.099305788,394881.645540921,62600.793470103294,696809.59904835,1341203.1704266649,169320.98911088146,42393.99952659197,16098.222545038909
tile_8,3030526.3264121865,277226.0192207759,65295.6699265535,191653.0156286452,189288.4237985951,26305.783699906897,8606.21987543581,4247.961449394003
tile_9,7910533.960050639,906813.1192984525,225330.8336994294,729231.4324741215,595051.4315469619,97402.25146873109,31163.58319373429,14112.402262518182
