building_id,LAquila_EQ_01,LAquila_EQ_02,LAquila_EQ_03,LAquila_EQ_04,LAquila_EQ_05,LAquila_EQ_06,LAquila_EQ_07,LAquila_EQ_08
shm_Budva,0.0009999703636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,0.6949198806818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Swiss,0.2213720491,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,3.681317209081896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_2,17.36640987089413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_3,0.158447426268033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_4,1.2841009796102192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_5,5.991877367724959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_6,3.714754823950227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_7,5.938675536767665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_8,4.687860718392738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_9,12.852553694843497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
