building_id,forecast_2009_04_06T00_00_00day,forecast_2009_04_06T01_32_41day,forecast_2009_04_06T02_37_05day,forecast_2009_04_06T23_15_37day,forecast_2009_04_07T09_26_29day,forecast_2009_04_07T17_47_38day,forecast_2009_04_09T00_53_00day,forecast_2009_04_09T19_38_17day,forecast_2009_04_13T00_00_00day,forecast_2009_04_13T21_14_25day
shm_Budva,9.51648572701674e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,2.118620548655114e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Swiss,1.9154671384964025e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,4.091649928441798e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_2,0.0001555331688411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_3,4.446706309649372e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_4,4.887092347397409e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_5,3.66698518908798e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_6,2.045779377803409e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_7,2.7653288237932265e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_8,5.131989037695077e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_9,9.628584684774645e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
