building_id,forecast_2009_04_06T00_00_00day,forecast_2009_04_06T01_32_41day,forecast_2009_04_06T02_37_05day,forecast_2009_04_06T23_15_37day,forecast_2009_04_07T09_26_29day,forecast_2009_04_07T17_47_38day,forecast_2009_04_09T00_53_00day,forecast_2009_04_09T19_38_17day,forecast_2009_04_13T00_00_00day,forecast_2009_04_13T21_14_25day
shm_Budva,2.64346825750465e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Grenoble,4.7080456636780304e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm_Swiss,1.9154671384964025e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_1,0.0001013870782472361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_2,6.779597303747233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_3,1.6544880476642243e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_4,5.518648090464605e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_5,1.8412412743228503e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_6,1.4050641044146704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_7,7.861968840149859e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_8,5.91177729197063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile_9,4.774832174332206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
